Group,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus
276.17034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373.1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12725.88009,124700.0079,0,0,0,0,0,0,0,0,0,0,0,0,0
401.07391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523009.5,1009637.492,0,0,572004.4648,0,0,0,11548.1416,17974.35938,0,0,0
449.17435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9762.254883,0,0
365.10148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417.18098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252.0238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242.28351,0,59688.17578,0,55519.67578,0,0,65514.4375,0,0,0,0,0,0,0,500322.4531,111262.5313,0,0,0,10016900.83,0,0,0,0,700371.2813,0,0,0,77532.26563,0
242.28295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.08162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499.2265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142.0848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265.15885,0,0,0,0,23143.54492,0,0,21858.51172,0,200669.2832,18584.74601,0,0,200647.4219,0,32687.10094,330041.7617,32747.23828,315003.2188,0,42173.65234,287400.959,33137.90063,374800.7695,32964.63281,45916.34375,55369.80086,335006.668,39553.96009,46217.8789
337.06708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100212.456,0,0,0,0,0,0,0,0,0,0,0,0,0
314.1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285.24227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299.25838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313.27241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17459.541,14418.59375,0,0,160041.6729
541.36973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189.05079,0,0,0,0,0,0,0,0,0,0,12534.2539,0,0,0,0,13967.65004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190.08526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
